sample_id	source_path	n_tr_calls	n_unique_tr_sites	n_unique_tr_subtypes	median_change_size_bp	max_change_size_bp	median_alt_support_reads	n_group_a_only	n_group_b_only
SMHT020-3AK-002MC-M81-D001-bcm	/stornext/snfs210/fritz/Yilei/SMaHT/sniffcell/brains/results_new_catalog_sniffcell094/same_catalog_run/SMHT020-3AK-002MC-M81-D001-bcm/deconv/deconv_requested_group_splits/discover/new_catalog_sniffcell094_same_catalog_run_all/harmonized_variants.tsv	7	7	1	1027.0	6828.0	7.0	4	3
SMHT022-3AL-001C4-M63-D001-nygc	/stornext/snfs210/fritz/Yilei/SMaHT/sniffcell/brains/results_new_catalog_sniffcell094/same_catalog_run/SMHT022-3AL-001C4-M63-D001-nygc/deconv/deconv_requested_group_splits/discover/new_catalog_sniffcell094_same_catalog_run_all/harmonized_variants.tsv	6	6	1	461.0	1231.0	5.0	2	4
SMHT031-3AK-003C3-M65-D001-bcm	/stornext/snfs210/fritz/Yilei/SMaHT/sniffcell/brains/results_new_catalog_sniffcell094/same_catalog_run/SMHT031-3AK-003C3-M65-D001-bcm/deconv/deconv_requested_group_splits/discover/new_catalog_sniffcell094_same_catalog_run_all/harmonized_variants.tsv	6	6	1	499.5	3189.0	9.5	2	4
SMHT001-3AO-001B3-M42-D001-uwsc	/stornext/snfs210/fritz/Yilei/SMaHT/sniffcell/brains/results_new_catalog_sniffcell094/same_catalog_run/SMHT001-3AO-001B3-M42-D001-uwsc/deconv/deconv_requested_group_splits/discover/new_catalog_sniffcell094_same_catalog_run_all/harmonized_variants.tsv	5	5	1	185.0	785.0	4.0	3	2
SMHT018-3AK-001B3-F89-D001-bcm	/stornext/snfs210/fritz/Yilei/SMaHT/sniffcell/brains/results_new_catalog_sniffcell094/same_catalog_run/SMHT018-3AK-001B3-F89-D001-bcm/deconv/deconv_requested_group_splits/discover/new_catalog_sniffcell094_same_catalog_run_all/harmonized_variants.tsv	5	5	1	522.0	1166.0	6.0	3	2
SMHT020-3AL-001MC-M81-D001-bcm	/stornext/snfs210/fritz/Yilei/SMaHT/sniffcell/brains/results_new_catalog_sniffcell094/same_catalog_run/SMHT020-3AL-001MC-M81-D001-bcm/deconv/deconv_requested_group_splits/discover/new_catalog_sniffcell094_same_catalog_run_all/harmonized_variants.tsv	5	5	1	551.0	9423.0	4.0	3	2
SMHT022-3AO-001B2-M63-D001-nygc	/stornext/snfs210/fritz/Yilei/SMaHT/sniffcell/brains/results_new_catalog_sniffcell094/same_catalog_run/SMHT022-3AO-001B2-M63-D001-nygc/deconv/deconv_requested_group_splits/discover/new_catalog_sniffcell094_same_catalog_run_all/harmonized_variants.tsv	5	5	1	674.0	7167.0	4.0	4	1
SMHT005-3AN-001A2-M59-B004-uwsc	/stornext/snfs210/fritz/Yilei/SMaHT/sniffcell/brains/results_new_catalog_sniffcell094/same_catalog_run/SMHT005-3AN-001A2-M59-B004-uwsc/deconv/deconv_requested_group_splits/discover/new_catalog_sniffcell094_same_catalog_run_all/harmonized_variants.tsv	4	4	1	488.0	1756.0	3.5	2	2
SMHT018-3AL-002C2-F89-D001-bcm	/stornext/snfs210/fritz/Yilei/SMaHT/sniffcell/brains/results_new_catalog_sniffcell094/same_catalog_run/SMHT018-3AL-002C2-F89-D001-bcm/deconv/deconv_requested_group_splits/discover/new_catalog_sniffcell094_same_catalog_run_all/harmonized_variants.tsv	4	4	1	957.5	6455.0	4.0	1	3
SMHT020-3AO-004MC-M81-D001-bcm	/stornext/snfs210/fritz/Yilei/SMaHT/sniffcell/brains/results_new_catalog_sniffcell094/same_catalog_run/SMHT020-3AO-004MC-M81-D001-bcm/deconv/deconv_requested_group_splits/discover/new_catalog_sniffcell094_same_catalog_run_all/harmonized_variants.tsv	4	4	1	1080.0	3208.0	4.0	1	3
SMHT023-3AM-MAMC-M57-D001-bcm	/stornext/snfs210/fritz/Yilei/SMaHT/sniffcell/brains/results_new_catalog_sniffcell094/same_catalog_run/SMHT023-3AM-MAMC-M57-D001-bcm/deconv/deconv_requested_group_splits/discover/new_catalog_sniffcell094_same_catalog_run_all/harmonized_variants.tsv	4	4	1	1004.0	6573.0	4.5	2	2
SMHT031-3AL-001MC-M65-B001-washu	/stornext/snfs210/fritz/Yilei/SMaHT/sniffcell/brains/results_new_catalog_sniffcell094/same_catalog_run/SMHT031-3AL-001MC-M65-B001-washu/deconv/deconv_requested_group_splits/discover/new_catalog_sniffcell094_same_catalog_run_all/harmonized_variants.tsv	4	4	1	665.5	1506.0	5.5	1	3
SMHT039-3AK-001C3-M74-D001-nygc	/stornext/snfs210/fritz/Yilei/SMaHT/sniffcell/brains/results_new_catalog_sniffcell094/same_catalog_run/SMHT039-3AK-001C3-M74-D001-nygc/deconv/deconv_requested_group_splits/discover/new_catalog_sniffcell094_same_catalog_run_all/harmonized_variants.tsv	4	4	1	757.5	2902.0	5.0	1	3
SMHT040-3AK-001C2-F89-B004-uwsc	/stornext/snfs210/fritz/Yilei/SMaHT/sniffcell/brains/results_new_catalog_sniffcell094/same_catalog_run/SMHT040-3AK-001C2-F89-B004-uwsc/deconv/deconv_requested_group_splits/discover/new_catalog_sniffcell094_same_catalog_run_all/harmonized_variants.tsv	4	4	1	225.0	1362.0	5.0	2	2
SMHT040-3AL-001B2-F89-D001-bcm	/stornext/snfs210/fritz/Yilei/SMaHT/sniffcell/brains/results_new_catalog_sniffcell094/same_catalog_run/SMHT040-3AL-001B2-F89-D001-bcm/deconv/deconv_requested_group_splits/discover/new_catalog_sniffcell094_same_catalog_run_all/harmonized_variants.tsv	4	4	1	111.0	2040.0	3.0	2	2
SMHT043-3AK-002B2-M52-D001-bcm	/stornext/snfs210/fritz/Yilei/SMaHT/sniffcell/brains/results_new_catalog_sniffcell094/same_catalog_run/SMHT043-3AK-002B2-M52-D001-bcm/deconv/deconv_requested_group_splits/discover/new_catalog_sniffcell094_same_catalog_run_all/harmonized_variants.tsv	4	4	1	2340.0	4422.0	3.0	3	1
SMHT020-3AL-001A3-M81-D001-uwsc	/stornext/snfs210/fritz/Yilei/SMaHT/sniffcell/brains/results_new_catalog_sniffcell094/same_catalog_run/SMHT020-3AL-001A3-M81-D001-uwsc/deconv/deconv_requested_group_splits/discover/new_catalog_sniffcell094_same_catalog_run_all/harmonized_variants.tsv	3	3	1	1008.0	1509.0	4.0	2	1
SMHT022-3AK-001C3-M63-D001-nygc	/stornext/snfs210/fritz/Yilei/SMaHT/sniffcell/brains/results_new_catalog_sniffcell094/same_catalog_run/SMHT022-3AK-001C3-M63-D001-nygc/deconv/deconv_requested_group_splits/discover/new_catalog_sniffcell094_same_catalog_run_all/harmonized_variants.tsv	3	3	1	410.0	922.0	5.0	2	1
